Indicator,SeriesDescription,TimeRange,Source
14.5.1,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),2000-2023,"BirdLife International, IUCN and UNEP-WCMC (2021). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)"
14.1.1,Beach litter originating from national land-based sources that ends in the beach (%),2017-2021,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)"
14.1.1,Beach litter originating from national land-based sources that ends in the beach (Tonnes),2017-2022,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)"
14.1.1,Beach litter originating from national land-based sources that ends in the ocean (%),2017-2021,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)"
14.1.1,Beach litter originating from national land-based sources that ends in the ocean (Tonnes),2017-2021,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)"
14.1.1,Beach litter per square kilometer (Number),2016-2022,"Plastic Pollution (MLW, MDMAP, ICC)"
14.1.1,"Chlorophyll-a deviations, remote sensing (%)",2005-2022,World Environment Situation Room
14.b.1,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),2018-2022,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting
14.1.1,Exported beach litter originating from national land-based sources (Tonnes),2017-2022,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)"
14.2.1,Number of countries using ecosystem-based approaches to managing marine areas (1 = YES; 0 = NO),2019-2021,Regional Seas / World Environment Situation Room
14.6.1,"Progress by countries in the degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing (level of implementation: 1 lowest to 5 highest)",2018-2022,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting
14.4.1,Proportion of fish stocks within biologically sustainable levels (not overexploited) (%),2018,FAO SDG14.4.1 questionnaire. Values were produced according to the SDG14.4.1 Metadata document.
14.7.1,Sustainable fisheries as a proportion of GDP,2011-2021,Official country reported data (UNSD and OECD national accounts). FAO Yearbook of Fishery Statistics and Review of the State of World Marine Fishery Resources.
